HRTA,MYOR,MIKA,UNTR
NaN,0,NaN,0.054588178
NaN,-0.014742333,NaN,0.080282905
NaN,0.103378343,NaN,-0.025670185
NaN,0.073150886,NaN,0.055166498
NaN,0.202178555,NaN,0.094282307
NaN,0,NaN,-0.08864868
NaN,0.013468206,NaN,-0.106609643
NaN,-0.006711429,NaN,0.06356167
NaN,0.048328606,NaN,0.0438616
NaN,-0.070380799,NaN,-0.103618557
NaN,-0.057158363,NaN,0.109308454
NaN,-0.064538533,NaN,-0.024409091
NaN,0,NaN,-0.041548862
NaN,0.027080958,NaN,0.015037792
NaN,-0.015385002,NaN,-0.185860416
NaN,0.022989641,NaN,-0.005469505
NaN,-0.026873114,NaN,-0.061253278
NaN,0.011605656,NaN,0.029681481
NaN,-0.015504269,NaN,0.018692066
NaN,-0.03174867,NaN,0.006460642
NaN,0.004024122,NaN,-0.039059543
NaN,0.011762476,NaN,0.106543242
NaN,-0.110281174,NaN,-0.123450651
NaN,-0.041195665,NaN,-0.174926709
NaN,-0.038099912,NaN,-0.016867803
NaN,-0.004866145,NaN,0.052082686
NaN,-0.065514635,NaN,-0.015012158
NaN,-0.064538534,NaN,0.028270443
NaN,0.030098062,NaN,-0.114304782
NaN,0.147583076,NaN,-0.145507593
NaN,0.022989594,NaN,0.017910933
NaN,0.02690743,NaN,-0.036148526
NaN,0.039050535,NaN,-0.037504409
NaN,0.013422985,NaN,0.052725387
NaN,0.01268516,NaN,0.300812254
NaN,-0.016949558,NaN,0.074442433
NaN,0.016949558,NaN,-0.008733611
NaN,0.129848147,NaN,-0.076303352
NaN,0.029092961,NaN,0.092623697
NaN,-0.029092961,NaN,0.145417058
NaN,-0.033774317,NaN,-0.151960097
NaN,-0.063012968,NaN,-0.013216108
NaN,0.032002731,NaN,-0.019026807
NaN,0.007843177,NaN,-0.043886983
NaN,NaN,NaN,0.084450345
NaN,NaN,NaN,0.035932009
